municipio_id,stat_date,type_establecimiento,count,seats
145,"Sat, 01 Jan 2011 00:00:00",Apartamento,2,18
146,"Sat, 01 Jan 2011 00:00:00",TurismoRural,5,38
146,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,18
147,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,10
148,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,20
148,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,4
150,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,6
151,"Sat, 01 Jan 2011 00:00:00",Hotel,4,92
153,"Sat, 01 Jan 2011 00:00:00",Hotel,1,24
154,"Sat, 01 Jan 2011 00:00:00",Hotel,3,102
154,"Sat, 01 Jan 2011 00:00:00",Camping,1,448
154,"Sat, 01 Jan 2011 00:00:00",TurismoRural,13,107
154,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,18
155,"Sat, 01 Jan 2011 00:00:00",Hotel,12,517
155,"Sat, 01 Jan 2011 00:00:00",Camping,1,843
155,"Sat, 01 Jan 2011 00:00:00",TurismoRural,18,153
155,"Sat, 01 Jan 2011 00:00:00",Apartamento,11,147
156,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,18
158,"Sat, 01 Jan 2011 00:00:00",Hotel,4,56
158,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,5
160,"Sat, 01 Jan 2011 00:00:00",Hotel,1,12
160,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,10
161,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,6
162,"Sat, 01 Jan 2011 00:00:00",Hotel,1,15
163,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,8
165,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,17
166,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,16
167,"Sat, 01 Jan 2011 00:00:00",Hotel,1,17
167,"Sat, 01 Jan 2011 00:00:00",Camping,1,90
167,"Sat, 01 Jan 2011 00:00:00",TurismoRural,8,44
167,"Sat, 01 Jan 2011 00:00:00",Apartamento,2,14
168,"Sat, 01 Jan 2011 00:00:00",Hotel,1,8
168,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,10
169,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,5
170,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,4
171,"Sat, 01 Jan 2011 00:00:00",Hotel,1,96
172,"Sat, 01 Jan 2011 00:00:00",Hotel,5,92
172,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,8
172,"Sat, 01 Jan 2011 00:00:00",Apartamento,3,46
