municipio_id,stat_date,poblacion
9,"Sun, 31 Dec 1939 23:00:00",1723
9,"Sun, 01 Jan 1950 00:00:00",1547
9,"Fri, 01 Jan 1960 00:00:00",1263
9,"Thu, 01 Jan 1970 00:00:00",889
9,"Thu, 01 Jan 1981 00:00:00",706
10,"Mon, 01 Jan 1900 00:00:00",524
10,"Tue, 01 Jan 1991 00:00:00",101
10,"Mon, 01 Jan 2001 00:00:00",80
10,"Thu, 01 Jan 2004 00:00:00",79
10,"Fri, 31 Dec 1909 23:00:00",496
10,"Wed, 31 Dec 1919 23:00:00",536
10,"Tue, 31 Dec 1929 23:00:00",494
10,"Sun, 31 Dec 1939 23:00:00",442
10,"Sun, 01 Jan 1950 00:00:00",392
10,"Fri, 01 Jan 1960 00:00:00",314
10,"Thu, 01 Jan 1970 00:00:00",220
10,"Thu, 01 Jan 1981 00:00:00",131
11,"Mon, 01 Jan 1900 00:00:00",982
11,"Tue, 01 Jan 1991 00:00:00",267
11,"Mon, 01 Jan 2001 00:00:00",287
11,"Thu, 01 Jan 2004 00:00:00",290
11,"Fri, 31 Dec 1909 23:00:00",1091
11,"Wed, 31 Dec 1919 23:00:00",1198
11,"Tue, 31 Dec 1929 23:00:00",1163
11,"Sun, 31 Dec 1939 23:00:00",965
11,"Sun, 01 Jan 1950 00:00:00",1048
11,"Fri, 01 Jan 1960 00:00:00",787
11,"Thu, 01 Jan 1970 00:00:00",612
11,"Thu, 01 Jan 1981 00:00:00",354
12,"Mon, 01 Jan 1900 00:00:00",499
12,"Tue, 01 Jan 1991 00:00:00",229
12,"Mon, 01 Jan 2001 00:00:00",186
12,"Thu, 01 Jan 2004 00:00:00",193
12,"Fri, 31 Dec 1909 23:00:00",416
12,"Wed, 31 Dec 1919 23:00:00",422
12,"Tue, 31 Dec 1929 23:00:00",340
12,"Sun, 31 Dec 1939 23:00:00",325
12,"Sun, 01 Jan 1950 00:00:00",338
12,"Fri, 01 Jan 1960 00:00:00",328
12,"Thu, 01 Jan 1970 00:00:00",297
12,"Thu, 01 Jan 1981 00:00:00",254
13,"Mon, 01 Jan 1900 00:00:00",1182
13,"Tue, 01 Jan 1991 00:00:00",168
13,"Mon, 01 Jan 2001 00:00:00",171
13,"Thu, 01 Jan 2004 00:00:00",162
13,"Fri, 31 Dec 1909 23:00:00",1253
13,"Wed, 31 Dec 1919 23:00:00",1177
13,"Tue, 31 Dec 1929 23:00:00",1084
13,"Sun, 31 Dec 1939 23:00:00",1007
13,"Sun, 01 Jan 1950 00:00:00",785
13,"Fri, 01 Jan 1960 00:00:00",504
13,"Thu, 01 Jan 1970 00:00:00",303
13,"Thu, 01 Jan 1981 00:00:00",238
14,"Mon, 01 Jan 1900 00:00:00",2061
14,"Tue, 01 Jan 1991 00:00:00",1226
14,"Mon, 01 Jan 2001 00:00:00",1235
14,"Thu, 01 Jan 2004 00:00:00",1229
14,"Fri, 31 Dec 1909 23:00:00",1751
14,"Wed, 31 Dec 1919 23:00:00",1796
14,"Tue, 31 Dec 1929 23:00:00",1960
14,"Sun, 31 Dec 1939 23:00:00",1926
14,"Sun, 01 Jan 1950 00:00:00",1881
14,"Fri, 01 Jan 1960 00:00:00",1741
14,"Thu, 01 Jan 1970 00:00:00",1530
14,"Thu, 01 Jan 1981 00:00:00",1313
15,"Mon, 01 Jan 1900 00:00:00",931
15,"Tue, 01 Jan 1991 00:00:00",527
15,"Mon, 01 Jan 2001 00:00:00",409
