id,name,area,country,major,men,women,ine,comunidad,comarca
535,Quinto,118.3,Spain,"BES LAGA, DIGNA",1029,1046,50222,Aragón,Ribera Baja del Ebro
536,Remolinos,18.5,Spain,"ZALDIVAR TRIS, ALFREDO",627,610,50223,Aragón,Ribera Alta del Ebro
537,Retascón,25.2,Spain,"MONGE SALVADOR, ARMANDO",52,43,50224,Aragón,Campo de Daroca
538,Ricla,90.7,Spain,"ROMEO MAÑAS, FRANCISCO BLAS",1573,1177,50225,Aragón,Valdejalón
539,Rillo,53.3,Spain,"MARZO GRACIA, SANTIAGO",72,58,44195,Aragón,Comunidad de Teruel
540,Riodeva,34.3,Spain,"GORRIZ ROMERO, EMILIANO",86,100,44196,Aragón,Comunidad de Teruel
541,Robres,64.3,Spain,"LUNA OTO, ANTONIO",347,310,22197,Aragón,Los Monegros
542,Romanos,19.5,Spain,"HERNANDEZ CASTILLO, CARLOS",81,59,50227,Aragón,Campo de Daroca
543,Royuela,32.5,Spain,JOSÉ LUIS VICENTE NAVARRO,131,98,44198,Aragón,Sierra de Albarracín
544,Rubiales,27.4,Spain,"SORIANO GARZON, JOSE ANTONIO",31,24,44199,Aragón,Sierra de Albarracín
545,Rubielos de Mora,63.7,Spain,"GRACIA LUCIA, ANGEL",329,314,44201,Aragón,Gúdar-Javalambre
546,Rubielos de la Cérida,66.9,Spain,"RAMO CERVERA, JUAN JOSE",28,29,44200,Aragón,Jiloca
547,Rueda de Jalón,107.4,Spain,"LARIO BIELSA, BERNARDO",187,178,50228,Aragón,Valdejalón
548,Ruesca,11.6,Spain,"BUENAFE CALVO, LUIS FERNANDO",44,43,50229,Aragón,Comunidad de Calatayud
549,Ráfales,35.6,Spain,"CAVERO LOPEZ, FERNANDO",96,91,44194,Aragón,Matarraña/Matarranya
550,Ródenas,44.3,Spain,JOSE ANTONIO NICOLAS SORIANO,44,41,44197,Aragón,Sierra de Albarracín
551,Sabiñánigo,586.8,Spain,"LASIERRA ASIN, JESUS TIMOTEO",4423,4374,22199,Aragón,Alto Gállego
552,Sahún,72.9,Spain,"LATORRE GARCIA, RAMON FRANCISCO",133,115,22200,Aragón,La Ribagorza
553,Salas Altas,20.7,Spain,"SUBÍAS TRICAS, MARIA CONCEPCIÓN",196,180,22201,Aragón,Somontano de Barbastro
554,Salas Bajas,12.9,Spain,"GRACIA ANDREU, DANIEL JOSÉ",73,76,22202,Aragón,Somontano de Barbastro
555,Salcedillo,16.9,Spain,"NAVARRO ALEGRE, FERMIN",4,4,44203,Aragón,Cuencas Mineras
556,Saldón,28.4,Spain,"SANCHEZ MARCO, EDUARDO",17,14,44204,Aragón,Sierra de Albarracín
557,Salillas,28.3,Spain,"SANTOLARIA VAL, JOSE RAMON",58,60,22203,Aragón,Hoya de Huesca/Plana de Uesca
558,Salillas de Jalón,2.5,Spain,"SEVILLA LANA, CONCEPCION",184,162,50231,Aragón,Valdejalón
559,Sallent de Gállego,162.1,Spain,"GERICO URIETA, JESUS EUGENIO",585,587,22204,Aragón,Alto Gállego
560,Salvatierra de Esca,81.2,Spain,"ZUBIRIA LORENTE, Mª PILAR",134,137,50232,Aragón,La Jacetania
561,Samper de Calanda,142.8,Spain,"PEREZ ORNAQUE, ALFONSO MANUEL",479,503,44205,Aragón,Bajo Martín
562,Samper del Salz,11.5,Spain,"FORTUN CLAVERIA, ADOLFO",69,66,50233,Aragón,Campo de Belchite
563,San Agustín,56.6,Spain,JOSE FERNANDEZ SALVADOR,71,60,44206,Aragón,Gúdar-Javalambre
564,San Esteban de Litera,71.9,Spain,"SABES TURMO, FERNANDO",288,284,22205,Aragón,La Litera/La Llitera
565,San Juan de Plan,55.8,Spain,"PUERTOLAS PORTA, NATIVIDAD",81,66,22207,Aragón,Sobrarbe
566,San Martín de la Virgen de Moncayo,5.4,Spain,"HERNANDEZ MORA, RAFAEL GREGORIO",159,132,50234,Aragón,Tarazona y el Moncayo
567,San Martín del Río,16.6,Spain,"SERRANO ALCAIRE, JOSE LUIS",131,133,44207,Aragón,Jiloca
568,San Mateo de Gállego,71.6,Spain,"SOLANAS RUBIO, TERESA ISIDORA",1195,1095,50235,Aragón,D.C. Zaragoza
569,San Miguel del Cinca,106.5,Spain,"SANCHO RODELLAR, ELISA",466,410,22903,Aragón,Cinca Medio
570,Sangarrén,32.2,Spain,"CIRIA GELLA, VICENTE",130,141,22206,Aragón,Los Monegros
571,Santa Cilia,28.1,Spain,"MAÑEZ VIVAS, MANUEL",109,91,22208,Aragón,La Jacetania
572,Santa Cruz de Grío,19.5,Spain,"CARNICER ALVAREZ, JUAN CARLOS",114,102,50236,Aragón,Valdejalón
573,Santa Cruz de Moncayo,4.0,Spain,"VAL DUCAR, ALBERTO",60,67,50237,Aragón,Tarazona y el Moncayo
574,Santa Cruz de Nogueras,15.2,Spain,"GURRIA MATEO, GREGORIO",21,15,44208,Aragón,Jiloca
575,Santa Cruz de la Serós,27.0,Spain,"MARTINEZ FERNANDEZ, Mª DEL CARMEN",95,69,22209,Aragón,La Jacetania
576,Santa Eulalia,81.0,Spain,"PALATSI MARTÍNEZ, HECTOR",565,583,44209,Aragón,Comunidad de Teruel
577,Santa Eulalia de Gállego,29.6,Spain,"CASAUCAU MORLANS, JOSE ANTONIO",68,67,50238,Aragón,Hoya de Huesca/Plana de Uesca
578,Santa María de Dulcis,27.2,Spain,"LISA PANO, MARIANO JESUS",109,110,22906,Aragón,Somontano de Barbastro
579,Santaliestra y San Quílez,23.3,Spain,"MUR COUTO, FRANCISCO JAVIER",57,50,22212,Aragón,La Ribagorza
580,Santed,17.8,Spain,"PARDOS ENGUITA, EDUARDO",37,39,50239,Aragón,Campo de Daroca
581,Sariñena,275.6,Spain,"VILLELLAS LAIN, FRANCISCO",2029,1958,22213,Aragón,Los Monegros
582,Sarrión,140.4,Spain,"MARTIN NOVELLA, NARCISO",541,492,44210,Aragón,Gúdar-Javalambre
583,Saviñán,15.5,Spain,"MARCUELLO CASORRAN, JOSE IGNACIO",414,431,50241,Aragón,Comunidad de Calatayud
584,Secastilla,47.4,Spain,"ARASANZ TURMO, JOSE LUIS",74,85,22214,Aragón,La Ribagorza
585,Sediles,11.7,Spain,"CONDON CABALLERO, JUAN LUIS",52,48,50242,Aragón,Comunidad de Calatayud
586,Segura de los Baños,54.1,Spain,ERNESTO FERRERUELA CALVO,22,21,44211,Aragón,Cuencas Mineras
587,Seira,69.2,Spain,MARIA BEGOÑA AVENTIN CRIVILLES,100,95,22215,Aragón,La Ribagorza
588,Sena,104.7,Spain,"SANZ REDRADO, ROCIO",334,253,22217,Aragón,Los Monegros
589,Seno,17.9,Spain,"BELLES BELLES, JOAQUIN",28,24,44212,Aragón,Bajo Aragón
590,Senés de Alcubierre,20.5,Spain,"ALLUE OTAL, Mª PILAR",28,24,22218,Aragón,Los Monegros
591,Sesa,30.8,Spain,"PEREZ MUR, JESUS FRANCISCO",125,118,22220,Aragón,Hoya de Huesca/Plana de Uesca
